target_size P1 P2 P3 P4 P5 P6 P7 P8
1 1000 0 0 0 0 0 0 0
2 1000 0 0 0 0 0 0 0
3 1000 756 0 0 0 0 0 0
4 1000 978 0 0 0 0 0 0
5 1000 999 232 0 0 0 0 0
6 1000 1000 671 0 0 0 0 0
7 1000 1000 867 0 0 0 0 0
8 1000 1000 963 31 0 0 0 0
9 1000 1000 994 237 0 0 0 0
10 1000 1000 999 515 0 0 0 0
11 1000 1000 1000 717 0 0 0 0
12 1000 1000 1000 860 24 0 0 0
13 1000 1000 1000 948 71 0 0 0
14 1000 1000 1000 983 189 0 0 0
15 1000 1000 1000 993 351 0 0 0
16 1000 1000 1000 997 483 0 0 0
17 1000 1000 1000 1000 630 2 0 0
18 1000 1000 1000 1000 770 6 0 0
19 1000 1000 1000 1000 861 28 0 0
20 1000 1000 1000 1000 934 62 0 0
